Designator,Mid X,Mid Y,Rotation,Layer
D1,166.57,-74.57,90.0,bottom
D10,194.42,-78.694,180.0,bottom
D11,174.795,-78.7,180.0,bottom
D12,156.275,-78.91,180.0,bottom
D13,137.02,-78.644,180.0,bottom
D14,137.19,-97.446,0.0,bottom
D15,156.175,-97.27,0.0,bottom
D16,175.185,-97.29,0.0,bottom
D17,194.275,-97.23,0.0,bottom
D2,166.76,-93.71,90.0,bottom
D3,128.64,-93.54,90.0,bottom
D4,128.26,-74.85,90.0,bottom
D5,185.77,-74.8,90.0,bottom
D6,147.53,-93.28,90.0,bottom
D7,147.1,-61.45,0.0,bottom
D8,147.29,-72.31,270.0,bottom
D9,185.9,-92.4,90.0,bottom
J1,148.035,-50.875,180.0,top
SW1,134.77,-55.06,270.0,top
SW2,175.18,-71.31,0.0,top
SW3,175.23,-90.36,0.0,top
SW4,137.17,-90.34,0.0,top
SW5,156.22,-90.35,0.0,top
SW6,194.27,-71.33,0.0,top
SW7,137.17,-71.29,0.0,top
SW8,156.22,-71.29,0.0,top
SW9,194.26,-90.32,0.0,top
U1,196.261,-51.5645,0.0,top
